person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
ACT 20:9__Saul_2_2,ACT 20:9,Saul_2_2,Saul_2,Paul,1,40119,
ACT 20:10__Saul_2_2,ACT 20:10,Saul_2_2,Saul_2,Paul,1,40120,
ACT 20:11__NA,ACT 20:11,NA,NA,NA,,40121,
ACT 20:12__NA,ACT 20:12,NA,NA,NA,,40122,
ACT 20:13__Saul_2_2,ACT 20:13,Saul_2_2,Saul_2,Paul,1,40123,
ACT 20:14__NA,ACT 20:14,NA,NA,NA,,40124,
ACT 20:15__NA,ACT 20:15,NA,NA,NA,,40125,
ACT 20:16__Saul_2_2,ACT 20:16,Saul_2_2,Saul_2,Paul,1,40126,
ACT 20:17__NA,ACT 20:17,NA,NA,NA,,40127,
ACT 20:18__NA,ACT 20:18,NA,NA,NA,,40128,
ACT 20:19__YHVH_1_11,ACT 20:19,YHVH_1_11,YHVH_1,Lord,1,40129,
ACT 20:20__NA,ACT 20:20,NA,NA,NA,,40130,
ACT 20:21__YHVH_1_1,ACT 20:21,YHVH_1_1,YHVH_1,G-d,1,40131,
ACT 20:21__YHVH_1_169,ACT 20:21,YHVH_1_169,YHVH_1,Lord Jesus Christ,1,40132,
ACT 20:22__NA,ACT 20:22,NA,NA,NA,,40133,
ACT 20:23__NA,ACT 20:23,NA,NA,NA,,40134,
ACT 20:24__YHVH_1_153,ACT 20:24,YHVH_1_153,YHVH_1,Lord Jesus,1,40135,
ACT 20:24__YHVH_1_1,ACT 20:24,YHVH_1_1,YHVH_1,G-d,1,40136,the grace of G-d
ACT 20:25__NA,ACT 20:25,NA,NA,NA,,40137,
ACT 20:26__NA,ACT 20:26,NA,NA,NA,,40138,
ACT 20:27__YHVH_1_1,ACT 20:27,YHVH_1_1,YHVH_1,G-d,1,40139,the whole purpose of G-d
ACT 20:28__YHVH_1_1,ACT 20:28,YHVH_1_1,YHVH_1,G-d,1,40140,the church [ἐκκλησία- ekklesia] of G-d
ACT 20:29__NA,ACT 20:29,NA,NA,NA,,40141,
ACT 20:30__NA,ACT 20:30,NA,NA,NA,,40142,
ACT 20:31__NA,ACT 20:31,NA,NA,NA,,40143,
ACT 20:32__YHVH_1_1,ACT 20:32,YHVH_1_1,YHVH_1,G-d,1,40144,
ACT 20:33__NA,ACT 20:33,NA,NA,NA,,40145,
ACT 20:34__NA,ACT 20:34,NA,NA,NA,,40146,
ACT 20:35__YHVH_1_153,ACT 20:35,YHVH_1_153,YHVH_1,Lord Jesus,1,40147,
ACT 20:36__NA,ACT 20:36,NA,NA,NA,,40148,
ACT 20:37__Saul_2_2,ACT 20:37,Saul_2_2,Saul_2,Paul,1,40149,
ACT 20:38__NA,ACT 20:38,NA,NA,NA,,40150,
ACT 21:1__NA,ACT 21:1,NA,NA,NA,,40151,
ACT 21:2__NA,ACT 21:2,NA,NA,NA,,40152,
ACT 21:3__NA,ACT 21:3,NA,NA,NA,,40153,
ACT 21:4__Saul_2_2,ACT 21:4,Saul_2_2,Saul_2,Paul,1,40154,
