place_label_id,place_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,open_bible_id,label-given_by_god,label_notes,place_label_count,label_sequence
Beer-lahai-roi_1_1,Beer-lahai-roi_1,Beer-lahai-roi,בְּאֵר לַחַי רֹאִי,bəer lachay roiy,well that belongs to the Living One seeing me,H883,Φρέαρ οὗ ἐνώπιον εἶδον,Phréar ou̔͂ e̓nṓpion ei̓͂don,well [of him] who saw [my] face,"G5421, G3739, G1799, G3708",GEN 16:14,proper name,a70e842,,,1,83
Bered_1_1,Bered_1,Bered,בֶּרֶד,bered,[poss.] freezing rain,H1260,Βαραδ,Barad,,none,GEN 16:14,proper name,aa3ff18,,,1,84
Beersheba_1_1,Beersheba_1,Beersheba,בְּאֵר שֶׁבַע,bəer sheva,well [of the] seven,H884,φρέαρ τοῦ ὅρκου,phréar tou͂ o̔́rkou,well [of] the oath,"G5421, G3588, G3727",GEN 21:14,proper name,a075d61,,,1,85
Paran_1_1,Paran_1,Paran,פָּארָן,paran,plain,H6290,Φαραν,Pharan,,none,GEN 21:21,proper name,aa6b19b,,,1,86
Moriah_1_1,Moriah_1,Moriah,מֹרִיָּה,moriyah,,H4179,[none],,,,GEN 22:2,proper name,adaf385,,Rahlfs Septuaginta has the phrase γῆν τὴν ὑψηλὴν [gē͂n tḕn u̔psēlḕn- the high land(?)] instead of a transliteration of the Hebrew מֹרִיָּה.,1,87
The LORD Will Provide_1_1,The LORD Will Provide_1,The LORD Will Provide,יְהוָ֣ה יִרְאֶ֑ה,Y-H-V-H yirəeh,[special name of G-d] will provide,"H3068, H7200",ἐκείνου Κύριος εἶδεν,e̓keínou Kúrios ei̓͂den,the one [the] Lord saw,"G1565, G2962, G3708",GEN 22:14,proper name,a559399,,,1,88
Hebron_1_2,Hebron_1,Kiriath-arba,קִרְיַת אַרְבַּע,qirəyat arəba,city of four,H7153,πόλει Αρβοκ,pólei Arbok,city Arbok,"G4172, none",GEN 23:2,proper name,a85151a,,Rahlfs Septuaginta translates the Hebrew קִרְיַת (qirəyat- city) into the Greek πόλει (pólei - city) instead of transliterating it.,2,89
Machpelah_1_1,Machpelah_1,Machpelah,מַכְפֵּלָה,makhəpelah,double cave,H4375,τὸ σπήλαιον τὸ διπλοῦν,tò spḗlaion tò diplou͂n,the cave double,"G3588, G4693, G3588, G1362",GEN 23:9,proper name,ae00861,,Rahlfs Septuaginta translates the Hebrew name instead of transliterating it.,1,90
Mesopotamia_1_1,Mesopotamia_1,Mesopotamia,אֲרַם נַהֲרַיִם,aram naharayim,,H763,Μεσοποταμία,Mesopotamía,label for the country lying between the rivers Tigris and Euphrates,G3318,GEN 24:10,proper name,a43f60f,,,1,91
Nahor_1_1,Nahor_1,Nahor,נָחוֹר,nachor,the mound of Nahuru,H5152,Ναχωρ,Naxōr,,G3493,GEN 24:10,proper name,aff43ac,,,1,92
