place_id,place_name,place_type,modern_equivalent,place_notes,openbible_id,openbible_url,name_instance,place_sequence
Moab_1,Moab,region,Area east of the Dead Sea,First mention: GEN 36:35,aa0b1d6,https://www.openbible.info/geo/ancient/aa0b1d6/moab-1,1,98
Avith_1,Avith,settlement,Possibly Rujum al Juththa,First mention: GEN 36:35,aae8a95,https://www.openbible.info/geo/ancient/aae8a95/avith,1,99
Masrekah_1,Masrekah,settlement,within 5 km of Jebel el Musraq (modern),First mention: GEN 36:36,a57e0a0,https://www.openbible.info/geo/ancient/a57e0a0/masrekah,1,100
Rehoboth_2,Rehoboth,settlement,Possibly Ras Rihab or near Wadi Ghuwayr,First mention: GEN 36:37,a17e154,https://www.openbible.info/geo/ancient/a17e154/rehoboth-2,2,101
Pau_1,Pau,settlement,Possibly along Wadi Fai,First mention: GEN 36:39,a880de2,https://www.openbible.info/geo/ancient/a880de2/pau,1,102
Valley of Hebron_1,Valley of Hebron,valley,Valley of Hebron,First mention: GEN 37:14,a375f5a,https://www.openbible.info/geo/ancient/a375f5a/valley-of-hebron,1,103
Dothan_1,Dothan,settlement,Tel Dothan,First mention: GEN 37:17,ab635e4,https://www.openbible.info/geo/ancient/ab635e4/dothan,1,104
Chezib_1,Chezib,settlement,Achzib,First mention: GEN 38:5,ab41e6b,https://www.openbible.info/geo/ancient/ab41e6b/chezib,1,105
Timnah_1,Timnah,settlement,within 15km of Tel Main,First mention: GEN 38:12,a17c178,https://www.openbible.info/geo/ancient/a17c178/timnah-3,1,106
Enaim_1,Enaim,settlement,near Khirbet Beit Ika,First mention: GEN 38:14,a59fdf2,https://www.openbible.info/geo/ancient/a59fdf2/enaim,1,107
On_1,On,settlement,Heliopolis,First mention: GEN 41:45,acd9137,https://www.openbible.info/geo/ancient/acd9137/heliopolis,1,108
Goshen_1,Goshen,region,Northern Egypt,First mention: GEN 45:10,a60f092,https://www.openbible.info/geo/ancient/a60f092/goshen-1,1,109
Rameses_1,Rameses,settlement,Qantir (or possibly Tell el Daba),First mention: GEN 47:11,a079b21,https://www.openbible.info/geo/ancient/a079b21/rameses,1,110
Shiloh_1,Shiloh,settlement,Khirbet Seilun,First mention: GEN 49:10,aa4680a,https://www.openbible.info/geo/ancient/aa4680a/shiloh,1,111
Atad_1,Atad,settlement,near the mouth of the Jordan River,First mention: GEN 50:10,a2f186d,https://www.openbible.info/geo/ancient/a2f186d/atad,1,112
