person_label_id,person_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,label-given_by_god,label_notes,person_label_count,label_sequence
Shimei_7_1,Shimei_7,Shimei,שִׁמְעִי,shiməiy,Yahweh has heard' or 'famous',H8096,Σεμεϊ,Semeï,,none,1CH 6:29,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:14,1,1607
Uzzah_2_1,Uzzah_2,Uzzah,עֻזָּא,uza,"strong, fierce one",H5798,Οζα,Oza,,none,1CH 6:29,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:14,1,1608
Shimea_1_1,Shimea_1,Shimea,שִׁמְעָא,shiməa,he has heard or obedient one,H8092,Σομεα,Somea,,none,1CH 6:30,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:15,1,1609
Haggiah_1_1,Haggiah_1,Haggiah,חַגִּיָּה,chagiyah,feast of Yahweh,H2293,Αγγια,Angia,,none,1CH 6:30,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:15,1,1610
Asaiah_3_1,Asaiah_3,Asaiah,עֲשָׂיָה,asayah,Yahweh has made,H6222,Ασαια,Asaia,,none,1CH 6:30,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:15,1,1611
Heman_2_1,Heman_2,Heman,הֵימָן,heyman,,H1968,Αιμαν,Aiman,,none,1CH 6:33,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:18,1,1612
Elihu_1_3,Elihu_1,Eliel,אֱלִיאֵל,eliyel,G-d [El] is [my] G-d,H447,Ελιηλ,Eliēl,,none,1CH 6:34,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:19,3,1613
Tohu_1_3,Tohu_1,Toah,תּוֹחַ,toach,,H8430,Θιε,Thie,,none,1CH 6:34,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:19,3,1614
Mahath_1_1,Mahath_1,Mahath,מַחַת,machat,[perhaps] tough,H4287,Μεθ,Meth,,none,1CH 6:35,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:20,1,1615
Shaul_3_2,Shaul_3,Joel,יוֹאֵ֔ל,yoel,Yahweh is G-d [El],H3100,Ιωηλ,Iōēl,,G2493,1CH 6:36,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:21,2,1616
Uzziah_1_2,Uzziah_1,Azariah,עֲזַרְיָה,azarəyah,Yahweh has helped,H5838,Αζαρια,Azaria,,none,1CH 6:36,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:21,2,1617
Uriel_1_2,Uriel_1,Zephaniah,צְפַנְיָה,tsəfanəyah,Yahweh has hidden [to shelter] or Yahweh has hidden [as a treasure],H6846,Σαφανια,Saphania,,none,1CH 6:36,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:21,2,1618
Asaph_2_1,Asaph_2,Asaph,אָסָף,asaf,gatherer,H623,Ασαφ,Asaph,,G760,1CH 6:39,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:24,1,1619
Berechiah_2_1,Berechiah_2,Berechiah,בֶּרֶכְיָהוּ,berekhəyahu,Yahweh blesses,H1296,Βαραχια,Baraxia,,none,1CH 6:39,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:24,1,1620
Shimea_2_1,Shimea_2,Shimea,שִׁמְעָא,shiməa,he has heard or obedient one,H8092,Σαμαα,Samaa,,none,1CH 6:39,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:24,1,1621
Michael_3_1,Michael_3,Michael,מִיכָאֵֽל,miykael,Who is like G-d [El]?,H4317,Μιχαηλ,Mixaēl,,G3413,1CH 6:40,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:25,1,1622
